order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,day_of_week,month,order_size,workload_level
1,2022-03-07,Aalopuri,Fastfood,$20,13,$260,NULL,Mr.,Night,Monday,March,Large,High
2,2022-08-23,Vadapav,Fastfood,$20,15,$300,Cash,Mr.,Afternoon,Tuesday,August,Large,High
3,2022-11-20,Vadapav,Fastfood,$20,1,$20,Cash,Mr.,Afternoon,Sunday,November,Small,Low
4,2023-03-02,Sugarcane Juice,Beverages,$25,6,$150,Online,Mr.,Night,Thursday,March,Medium,Medium
5,2022-02-10,Sugarcane Juice,Beverages,$25,8,$200,Online,Mr.,Evening,Thursday,February,Medium,Medium
6,2022-11-14,Vadapav,Fastfood,$20,10,$200,Cash,Mr.,Evening,Monday,November,Medium,Medium
7,2022-03-05,Sugarcane Juice,Beverages,$25,9,$225,Cash,Mr.,Evening,Saturday,March,Medium,Medium
8,2022-12-22,Panipuri,Fastfood,$20,14,$280,Online,Mr.,Night,Thursday,December,Large,High
9,2022-10-06,Panipuri,Fastfood,$20,1,$20,Cash,Mrs.,Morning,Thursday,October,Small,Low
10,2022-09-16,Panipuri,Fastfood,$20,5,$100,Online,Mr.,Afternoon,Friday,September,Small,Low
11,2022-01-12,Frankie,Fastfood,$50,8,$400,Online,Mrs.,Afternoon,Wednesday,January,Medium,Medium
12,2022-12-07,Vadapav,Fastfood,$20,8,$160,Online,Mrs.,Night,Wednesday,December,Medium,Medium
13,2022-12-22,Panipuri,Fastfood,$20,9,$180,Online,Mrs.,Afternoon,Thursday,December,Medium,Medium
14,2022-11-25,Frankie,Fastfood,$50,4,$200,Online,Mr.,Morning,Friday,November,Small,Low
15,2023-03-02,Aalopuri,Fastfood,$20,3,$60,Cash,Mrs.,Evening,Thursday,March,Small,Low
16,2022-04-14,Sandwich,Fastfood,$60,11,$660,NULL,Mrs.,Midnight,Thursday,April,Large,High
17,2022-10-16,Panipuri,Fastfood,$20,11,$220,Cash,Mrs.,Morning,Sunday,October,Large,High
18,2022-05-11,Panipuri,Fastfood,$20,10,$200,Cash,Mrs.,Night,Wednesday,May,Medium,Medium
19,2022-08-22,Panipuri,Fastfood,$20,11,$220,Cash,Mrs.,Night,Monday,August,Large,High
20,2022-09-15,Cold Coffee,Beverages,$40,10,$400,Online,Mr.,Night,Thursday,September,Medium,Medium
21,2022-12-21,Cold Coffee,Beverages,$40,15,$600,Cash,Mr.,Evening,Wednesday,December,Large,High
22,2022-04-10,Sugarcane Juice,Beverages,$25,12,$300,Online,Mr.,Evening,Sunday,April,Large,High
23,2022-05-26,Sandwich,Fastfood,$60,3,$180,Online,Mr.,Midnight,Thursday,May,Small,Low
24,2023-11-02,Sugarcane Juice,Beverages,$25,10,$250,Online,Mr.,Afternoon,Thursday,November,Medium,Medium
25,2022-08-31,Sandwich,Fastfood,$60,1,$60,Online,Mrs.,Evening,Wednesday,August,Small,Low
26,2022-08-18,Sugarcane Juice,Beverages,$25,4,$100,Cash,Mr.,Afternoon,Thursday,August,Small,Low
27,2022-12-10,Cold Coffee,Beverages,$40,11,$440,Online,Mrs.,Afternoon,Saturday,December,Large,High
28,2023-06-01,Cold Coffee,Beverages,$40,10,$400,Online,Mrs.,Afternoon,Thursday,June,Medium,Medium
29,2023-10-02,Sugarcane Juice,Beverages,$25,9,$225,Online,Mr.,Afternoon,Monday,October,Medium,Medium
30,2023-01-28,Frankie,Fastfood,$50,2,$100,Cash,Mrs.,Night,Saturday,January,Small,Low
31,2022-09-14,Cold Coffee,Beverages,$40,13,$520,Online,Mrs.,Evening,Wednesday,September,Large,High
32,2022-06-05,Aalopuri,Fastfood,$20,4,$80,NULL,Mr.,Morning,Sunday,June,Small,Low
33,2023-05-02,Aalopuri,Fastfood,$20,13,$260,Online,Mr.,Night,Tuesday,May,Large,High
34,2023-04-02,Frankie,Fastfood,$50,12,$600,Online,Mrs.,Evening,Sunday,April,Large,High
35,2022-05-22,Vadapav,Fastfood,$20,8,$160,Cash,Mr.,Morning,Sunday,May,Medium,Medium
36,2022-02-07,Cold Coffee,Beverages,$40,10,$400,Online,Mr.,Afternoon,Monday,February,Medium,Medium
37,2023-05-01,Frankie,Fastfood,$50,10,$500,Cash,Mr.,Night,Monday,May,Medium,Medium
38,2023-08-03,Panipuri,Fastfood,$20,12,$240,Online,Mrs.,Night,Thursday,August,Large,High
